org,ada,issue_date,subject,award_amount,supplier_afm,supplier_name
99221986,61ΚΡ4690ΩΔ-ΔΣΦ,2025-01-28,Απόφαση ΔΣ έγκρισης πρακτικών και κατακύρωσης του Δ42/2024 Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την ανάδειξη αναδόχου για το πλύσιμο και το σιδέρωμα του Ακάθαρτου Ιματισμού του Νοσοκομείου (,,,
99221986,ΨΖΒ14690ΩΔ-7Ψ9,2025-01-28,"Απόφαση ΔΣ έγκρισης χρήσης του δικαιώματος του Νοσοκομείου για μονομερή παράταση των συμβάσεων Δ14/2023, για την παροχή υπηρεσιών Διαχείρισης Επικίνδυνων Ιατρικών Αποβλήτων",,,
99221986,6ΑΟΞ4690ΩΔ-ΥΛ6,2025-01-30,Έγκριση των πρακτικών αξιολόγησης και οριστικής κατακύρωσης του Δ43/2024 ΔΔ Δημόσιου Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου υπηρεσιών αναπροσαρμογής και αναβάθμισης του υφιστάμενο,,,
99221986,Ψ8ΧΑ4690ΩΔ-ΩΣ6,2025-01-30,Έγκριση Πρακτικών και οριστική κατακύρωση του Δ43/2024 ΔΔ Δημόσιου Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου παροχής υπηρεσιών μίσθωσης αναπνευστικών συσκευών με αναλώσιμα για τις αν,,,
99221986,ΨΧΞΙ4690ΩΔ-24Φ,2025-11-18,"Απόφαση Διοικητή για την του υπ΄αριθμ.πρωτ.44770/11-11-2025 Πρακτικό αξιολόγησης και την έγκριση κατακύρωσης της Δ68/2025 Α.Α Πρόσκλησης Εκδήλωσης Ενδιαφέροντος  Αντί Απευθείας Ανάθεσης, για την προμή",,,
99221986,608Σ4690ΩΔ-ΕΦΝ,2025-11-17,Απόφαση Διοικητή έγκρισης του πρακτικού ελέγχου των δικαιολογητικών κατακύρωσης και οριστική κατακύρωση του Δ03/2025 ΔΔ Δημόσιου Ανοιχτού Ηλεκτρονικού Διαγωνισμού για την προμήθεια ξενοδοχειακού εξοπλ,,,
99221986,ΨΠ1Ξ4690ΩΔ-4ΗΧ,2025-11-12,Απόφαση Διοικητή για την έγκριση του υπ΄αριθμ.πρωτ.44405/07-11-2025 Πρακτικού αξιολόγησης και την έγκριση κατακύρωσης της Δ66/2025 Α.Α. Πρόσκλησης Εκδήλωσης Ενδιαφέροντος για Υποβολή Προσφοράς Αντί Απ,,,
99221986,ΡΟΞΩ4690ΩΔ-4ΚΠ,2025-11-07,Απόφαση Διοικητή έγκρισης πρακτικών και κατακύρωσης του Δ08/2024 Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια Συσκευών Πλασμαφαίρεσης και Ασκών Κρυοκατάψυξης,,,
99221986,65ΒΑ4690ΩΔ-ΨΣ4,2025-11-07,Απόφαση Διοικητή για την έγκριση του υπ’ αριθμ. πρωτ. 41304/20-10-2025 Πρακτικού αξιολόγησης προσφοράς για την υπ’ αριθμ. Δ58/2025 Πρόσκληση για την παροχή υπηρεσιών επισκευής και συντήρησης δύο (2) ο,,,
99221986,94ΕΒ4690ΩΔ-ΖΕ5,2025-11-03,Απόφαση Διοικητή έγκρισης του πρακτικού ελέγχου επικαιροποιημένων δικαιολογητικών κατακύρωσης και εξέτασης αιτήματος αναπροσαρμογής του τιμήματος και κατακύρωση του υπ’ αριθμ. Δ23/2024 Διεθνούς Ανοικτ,,,
99221986,ΨΗΖ74690ΩΔ-Β48,2025-10-31,Απόφαση Διοικητή για έγκριση πρακτικών - κατακύρωση της Δ64/2025 ΔΠΤ Πρόσκλησης σε Διαδικασία Διαπραγμάτευσης για την προμήθεια εξοπλισμού/λογισμικού και την παροχή υπηρεσιών υποστήριξης - συντήρησης ,,,
99221986,9ΟΩΛ4690ΩΔ-Η59,2025-10-29,Απόφαση Διοικητή για την έγκριση του υπ΄αριθμ.πρωτ.41845/22-10-2025 Πρακτικού αξιολόγησης της προσφοράς και τη κατακύρωση της Δ63/2025 Α.Α. Πρόσκλησης Εκδήλωσης Ενδιαφέροντος για την απευθείας ανάθεση,,,
99221986,9ΛΨΨ4690ΩΔ-43Α,2025-10-27,Απόφαση Διοικητή για την έγκριση του υπ΄αριθμ.πρωτ.40650/15-10-2025 Πρακτικού αξιολόγησης και κατακύρωση της Δ59/2025 Α.Α. Πρόσκλησης Εκδήλωσης Ενδιαφέροντος υποβολής προσφοράς για την απευθείας ανάθε,,,
99221986,65ΨΥ4690ΩΔ-5Γ9,2025-10-23,"Απόφαση Διοικητή για την ανάθεση της παροχής υπηρεσιών μίσθωσης ασθενοφόρων, για την εξυπηρέτηση διακομιδών ασθενών του Νοσοκομείου από το Π.Γ.Ν. «ΑΤΤΙΚΟΝ» - Γ.Ν.Δ.Α. «Η ΑΓΙΑ ΒΑΡΒΑΡΑ» προς τον Διεθνή ",,,
99221986,Ψ2Η84690ΩΔ-0Ψ4,2025-10-08,Απόφαση Διοικητή για την έγκριση κατακύρωσης της Δ61/2025 Α.Α Πρόσκλησης Εκδήλωσης Ενδιαφέροντος για την απευθείας ανάθεση σύμφωνα με το άρθρο 118 του Ν.4412/2016 για την παροχή υπηρεσιών υποστήριξης ,,,
99221986,ΡΗΤΟ4690ΩΔ-ΔΞ5,2025-10-06,"Απόφαση Διοικητή έγκρισης πρακτικού δικαιολογητικών κατακύρωσης και οριστική κατακύρωση του Δ14/2025 Δημόσιου Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου ""Για την προμήθεια και αντικατ",,,
99221986,ΨΚΛ84690ΩΔ-4ΛΔ,2025-10-02,Απόφαση Διοικητή για την ανάθεση παροχής ανεξάρτητων υπηρεσιών υποστήριξης της Μονάδας Εσωτερικού Ελέγχου (Μ.Ε.Ε.) του Π.Γ.Ν. «ΑΤΤΙΚΟΝ» - Γ.Ν.Δ.Α. «Η ΑΓΙΑ ΒΑΡΒΑΡΑ» και της αποκεντρωμένης οργανικής μον,,,
99221986,9Ο7Ρ4690ΩΔ-Γ96,2025-10-01,Απόφαση Διοικητή έγκρισης πρακτικών και οριστικής κατακύρωσης του Δ09/2024 Διεθνούς Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου για την παροχή υπηρεσιών Φύλαξης των Κτιριακών Εγκαταστά,,,
99221986,6ΓΔ84690ΩΔ-5ΒΧ,2025-09-12,"Ανάθεση για την ανάπτυξη λογισμικού διασύνδεσης με το API της παρόχου εταιρείας για την Ηλεκτρονική Τιμολόγηση (CPV: 72210000-0), για ένα (1) έτος, με συνολικό ποσό κατακύρωσης στα 17.000,00€ μη συμπε",,,
99221986,ΨΔΚΜ4690ΩΔ-ΧΤ8,2025-09-12,"Ανάθεση για την ανάπτυξη λογισμικού διασύνδεσης με το API της παρόχου εταιρείας για την Ηλεκτρονική Τιμολόγηση (CPV: 72210000-0), για ένα (1) έτος, με συνολικό ποσό κατακύρωσης στα 17.000,00€ μη συμπε",,,
99221986,6Ι8Κ4690ΩΔ-Λ3Ζ,2025-09-12,"Ανάθεση για την ανάπτυξη λογισμικού διασύνδεσης με το API της παρόχου εταιρείας για την Ηλεκτρονική Τιμολόγηση (CPV: 72210000-0), για ένα (1) έτος, με συνολικό ποσό κατακύρωσης στα 17.000,00€ μη συμπε",,,
99221986,ΨΥΡΘ4690ΩΔ-Δ6Τ,2025-09-12,"Ανάθεση για την ανάπτυξη λογισμικού διασύνδεσης με το API της παρόχου εταιρείας για την Ηλεκτρονική Τιμολόγηση (CPV: 72210000-0), για ένα (1) έτος, με συνολικό ποσό κατακύρωσης στα 17.000,00€ μη συμπε",,,
99221986,6Η354690ΩΔ-Γ4Ρ,2025-07-11,Απόφαση Διοικητή έγκρισης  πρακτικών και κατακύρωσης των Τμημάτων 1 και 3 του υπ’ αριθμ. Δ09/2025 Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια και συντήρηση Οφθαλμολογικού εξοπλισμού,,,
99221986,6ΦΟΜ4690ΩΔ-3ΛΑ,2025-09-01,"Ανάθεση για την ανάπτυξη λογισμικού διασύνδεσης για την Ηλεκτρονική Τιμολόγηση, μέσω παρόχου (CPV: 72410000-7) Τύπος Συνδρομής BUSINESS 20, για ένα (1) έτος, με συνολικό ποσό κατακύρωσης στα 1.200,00€",,,
99221986,Ψ7ΕΚ4690ΩΔ-Ρ6Μ,2025-08-26,"Απόφαση Διοικητή Έγκρισης του Πρακτικού Αξιολόγησης Προσφορών και κατακύρωσης αποτελέσματος της Δ52/2025 ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης για την παροχή υπηρεσιών καθαριότητας, συμπεριλαμβ",,,
99221986,ΨΨ4Μ4690ΩΔ-ΗΕΜ,2025-08-22,Απόφαση για την έγκριση της κατακύρωσης της Δ53/2025 Α.Α. Πρόσκλησης για την υποβολή προσφοράς για την απευθείας ανάθεση σύμφωνα με το άρθρο 118 του Ν.4412/2016 για την παροχή υπηρεσιών καθαρισμού και,,,
